nr_rundy.1.2.3.4.ogien
1.(4, 9, NORMAL).(5, 9, NORMAL).(4, 10, NORMAL).(4, 11, NORMAL).[(4, 18)]
2.(5, 9, NORMAL).(5, 9, NORMAL).(4, 11, NORMAL).[(4, 18), (3, 18), (3, 19)]
3.(8, 9, NORMAL).(4, 10, NORMAL).[(4, 18), (3, 18), (3, 19)]
4.(9, 8, NORMAL).(4, 9, NORMAL).[(4, 18), (3, 18), (3, 19), (2, 18), (2, 19), (4, 19)]
5.(9, 6, NORMAL).(8, 9, NORMAL).(5, 9, NORMAL).[(4, 18), (3, 18), (3, 19), (2, 18), (2, 19), (4, 19), (4, 17), (3, 17), (2, 17)]
6.(9, 4, NORMAL).(9, 8, NORMAL).[(4, 18), (3, 18), (3, 19), (2, 18), (2, 19), (4, 19), (4, 17), (3, 17), (2, 17), (1, 18), (1, 19), (4, 16), (2, 16)]
7.(8, 9, NORMAL).(9, 2, NORMAL).(9, 6, NORMAL).(7, 9, NORMAL).[(4, 18), (3, 18), (3, 19), (2, 18), (2, 19), (4, 19), (4, 17), (3, 17), (2, 17), (1, 18), (1, 19), (4, 16), (2, 16), (1, 17), (3, 16), (4, 15), (1, 16), (2, 15)]
8.(9, 8, NORMAL).(9, 0, NORMAL).(9, 4, NORMAL).(8, 9, NORMAL).[(4, 18), (3, 18), (3, 19), (2, 18), (2, 19), (4, 19), (4, 17), (3, 17), (2, 17), (1, 18), (1, 19), (4, 16), (2, 16), (1, 17), (3, 16), (4, 15), (1, 16), (2, 15), (3, 15), (2, 14)]
9.(9, 6, NORMAL).(-10, -10, SAFE).(9, 2, NORMAL).(9, 9, NORMAL).[(4, 18), (3, 18), (3, 19), (2, 18), (2, 19), (4, 19), (4, 17), (3, 17), (2, 17), (1, 18), (1, 19), (4, 16), (2, 16), (1, 17), (3, 16), (4, 15), (1, 16), (2, 15), (3, 15), (2, 14), (4, 14), (1, 15), (3, 14)]
10.(9, 4, NORMAL).(-10, -10, SAFE).(9, 0, NORMAL).(9, 8, NORMAL).[(4, 18), (3, 18), (3, 19), (2, 18), (2, 19), (4, 19), (4, 17), (3, 17), (2, 17), (1, 18), (1, 19), (4, 16), (2, 16), (1, 17), (3, 16), (4, 15), (1, 16), (2, 15), (3, 15), (2, 14), (4, 14), (1, 15), (3, 14), (1, 14), (4, 13)]
11.(9, 2, NORMAL).(-10, -10, SAFE).(-10, -10, SAFE).(9, 7, NORMAL).[(4, 18), (3, 18), (3, 19), (2, 18), (2, 19), (4, 19), (4, 17), (3, 17), (2, 17), (1, 18), (1, 19), (4, 16), (2, 16), (1, 17), (3, 16), (4, 15), (1, 16), (2, 15), (3, 15), (2, 14), (4, 14), (1, 15), (3, 14), (1, 14), (4, 13), (2, 13)]
12.(9, 0, NORMAL).(-10, -10, SAFE).(-10, -10, SAFE).(9, 6, NORMAL).[(4, 18), (3, 18), (3, 19), (2, 18), (2, 19), (4, 19), (4, 17), (3, 17), (2, 17), (1, 18), (1, 19), (4, 16), (2, 16), (1, 17), (3, 16), (4, 15), (1, 16), (2, 15), (3, 15), (2, 14), (4, 14), (1, 15), (3, 14), (1, 14), (4, 13), (2, 13), (1, 13), (3, 13), (4, 12)]
13.(-10, -10, SAFE).(-10, -10, SAFE).(-10, -10, SAFE).(9, 5, NORMAL).[(4, 18), (3, 18), (3, 19), (2, 18), (2, 19), (4, 19), (4, 17), (3, 17), (2, 17), (1, 18), (1, 19), (4, 16), (2, 16), (1, 17), (3, 16), (4, 15), (1, 16), (2, 15), (3, 15), (2, 14), (4, 14), (1, 15), (3, 14), (1, 14), (4, 13), (2, 13), (1, 13), (3, 13), (4, 12), (2, 12), (4, 11)]
14.(-10, -10, SAFE).(-10, -10, SAFE).(-10, -10, SAFE).(9, 4, NORMAL).[(4, 18), (3, 18), (3, 19), (2, 18), (2, 19), (4, 19), (4, 17), (3, 17), (2, 17), (1, 18), (1, 19), (4, 16), (2, 16), (1, 17), (3, 16), (4, 15), (1, 16), (2, 15), (3, 15), (2, 14), (4, 14), (1, 15), (3, 14), (1, 14), (4, 13), (2, 13), (1, 13), (3, 13), (4, 12), (2, 12), (4, 11), (3, 12), (2, 11), (4, 10)]
15.(-10, -10, SAFE).(-10, -10, SAFE).(-10, -10, SAFE).(9, 3, NORMAL).[(4, 18), (3, 18), (3, 19), (2, 18), (2, 19), (4, 19), (4, 17), (3, 17), (2, 17), (1, 18), (1, 19), (4, 16), (2, 16), (1, 17), (3, 16), (4, 15), (1, 16), (2, 15), (3, 15), (2, 14), (4, 14), (1, 15), (3, 14), (1, 14), (4, 13), (2, 13), (1, 13), (3, 13), (4, 12), (2, 12), (4, 11), (3, 12), (2, 11), (4, 10), (1, 12), (3, 11), (1, 11), (2, 10), (4, 9)]
