nr_rundy.1.2.3.4.5.6.7.8.ogien
1.(5, 9, NORMAL).(3, 9, NORMAL).(4, 9, NORMAL).(4, 11, NORMAL).(13, 8, NORMAL).(11, 16, NORMAL).(16, 15, NORMAL).(9, 3, NORMAL).[(7, 17)]
2.(6, 9, NORMAL).(3, 9, NORMAL).(5, 9, NORMAL).(4, 10, NORMAL).(11, 8, NORMAL).(12, 15, NORMAL).(16, 13, NORMAL).(9, 2, NORMAL).[(7, 17)]
3.(9, 9, NORMAL).(4, 9, NORMAL).(5, 9, NORMAL).(4, 10, NORMAL).(9, 8, NORMAL).(12, 16, NORMAL).(16, 14, NORMAL).(9, 1, NORMAL).[(7, 17)]
4.(9, 7, NORMAL).(5, 9, NORMAL).(6, 9, NORMAL).(4, 9, NORMAL).(9, 6, NORMAL).(12, 15, NORMAL).(13, 14, NORMAL).(9, 0, NORMAL).[(7, 17)]
5.(9, 7, NORMAL).(5, 9, NORMAL).(8, 9, NORMAL).(4, 9, NORMAL).(9, 4, NORMAL).(12, 16, NORMAL).(12, 15, NORMAL).(-10, -10, SAFE).[(7, 17), (6, 17)]
6.(9, 4, NORMAL).(6, 9, NORMAL).(9, 8, NORMAL).(5, 9, NORMAL).(9, 2, NORMAL).(12, 16, NORMAL).(11, 15, NORMAL).(-10, -10, SAFE).[(7, 17), (6, 17), (6, 16)]
7.(9, 1, NORMAL).(8, 9, NORMAL).(9, 6, NORMAL).(5, 9, NORMAL).(9, 0, NORMAL).(12, 15, NORMAL).(11, 14, NORMAL).(-10, -10, SAFE).[(7, 17), (6, 17), (6, 16), (6, 15)]
8.(9, 0, NORMAL).(9, 8, NORMAL).(9, 4, NORMAL).(6, 9, NORMAL).(-10, -10, SAFE).(12, 16, NORMAL).(10, 14, NORMAL).(-10, -10, SAFE).[(7, 17), (6, 17), (6, 16), (6, 15)]
9.(-10, -10, SAFE).(9, 6, NORMAL).(9, 2, NORMAL).(7, 9, NORMAL).(-10, -10, SAFE).(12, 15, NORMAL).(9, 14, NORMAL).(-10, -10, SAFE).[(7, 17), (6, 17), (6, 16), (6, 15)]
10.(-10, -10, SAFE).(9, 4, NORMAL).(9, 0, NORMAL).(8, 9, NORMAL).(-10, -10, SAFE).(12, 16, NORMAL).(10, 14, NORMAL).(-10, -10, SAFE).[(7, 17), (6, 17), (6, 16), (6, 15), (7, 15)]
11.(-10, -10, SAFE).(9, 2, NORMAL).(-10, -10, SAFE).(9, 9, NORMAL).(-10, -10, SAFE).(12, 15, NORMAL).(10, 15, NORMAL).(-10, -10, SAFE).[(7, 17), (6, 17), (6, 16), (6, 15), (7, 15), (8, 17)]
12.(-10, -10, SAFE).(9, 0, NORMAL).(-10, -10, SAFE).(9, 8, NORMAL).(-10, -10, SAFE).(12, 16, NORMAL).(10, 14, NORMAL).(-10, -10, SAFE).[(7, 17), (6, 17), (6, 16), (6, 15), (7, 15), (8, 17)]
13.(-10, -10, SAFE).(-10, -10, SAFE).(-10, -10, SAFE).(9, 7, NORMAL).(-10, -10, SAFE).(12, 15, NORMAL).(11, 15, NORMAL).(-10, -10, SAFE).[(7, 17), (6, 17), (6, 16), (6, 15), (7, 15), (8, 17)]
14.(-10, -10, SAFE).(-10, -10, SAFE).(-10, -10, SAFE).(9, 6, NORMAL).(-10, -10, SAFE).(12, 16, NORMAL).(13, 14, NORMAL).(-10, -10, SAFE).[(7, 17), (6, 17), (6, 16), (6, 15), (7, 15), (8, 17)]
15.(-10, -10, SAFE).(-10, -10, SAFE).(-10, -10, SAFE).(9, 5, NORMAL).(-10, -10, SAFE).(12, 15, NORMAL).(16, 14, NORMAL).(-10, -10, SAFE).[(7, 17), (6, 17), (6, 16), (6, 15), (7, 15), (8, 17), (9, 17), (8, 16)]
